Référence;Produit;Type Voiture;prix
57183;Tige de culbuteur;P.404/P.504/P.505;57.48
57185;Tige de culbuteur;P.404/P.504/P.505;48.77
005.4114;Direction à crémaillère;P.J9/C.C25;1568.50
006.4094;Nécessaire anti-bruit de direction;P.205/P.309/P.104;22.32
011.4444;Vérin de direction assistée;P.205/P.206/P.309/P.PARTNER;1283.30
011.4654;Vérin de direction assistée;C.BERLINGO/C.ZX/P.PARTNER;1311.98
018.4H44;Rotule de Direction;C.JUMPER/FIAT DUCATO/PGT BOXER I-II;149.61
033.5235;Butée de suspension;PGT 205/PGT 306/309-CIT.ZX/C15;40.40
033.5275;Butée de suspension;P205/P309/P405;55.71
033.5405;Butée de suspension;P.406;177.19
033.5585;Butée de suspension;P.206;99.61
033.5595;Butée de suspension;CIT PICASSO/XSARA/Berlingo-PGT PARTNER II DIAM.56H105;63.50
035.5275;Butée à billes de suspension;P.205/306/307/309/405/PICASO.SAX/XSARA/C15.BERLIGO.;87.43
038.5155;Support amortisseur AV;C.SAXO/P.106 T.T;138.93
038.5185;Suspension Support Essieu;CIT JUMPER / FIAT DUCATO 94-01 / PGT BOXER I;248.51
038.5235;Support amortisseur AV;C.ZX/Berlingo/P.POR;224.81
038.5245;Support amortisseur AV;BERLINGO/P.PARTNER;239.63
038.5265;Support moteur;P.406;805.70
038.5285;Support amortisseur AV/D;CIT. JUMPER-PGT. BOXER;358.01
038.5295;Support amortisseur AV/G;CIT. JUMPER-PGT. BOXER;374.40
038.5345;Support triangle suspension;P.206;319.06
038.5405;Support triangle suspension;P.206;336.98
038.5605;Support amortisseur AV/D;PGT 206/206+;245.76
038.5855;Support amortisseur AV;P 207/P 307/Berlingo VL/C4/Picasso/CTR ZX;89.44
038.5A15;Support amortisseur AV/D;PEUGEOT 206;243.76
040.4144;Flecteur de direction;P.505/R12/C.BX//VISA/C15/P204.P304,P404(73>),P504(73>);44.60
041.2142;Butée d'embrayage;P404,P504.P505.P604;151.04
041.2272;Butée d'embrayage;P504/P505/P604;166.02
041.2292;Butée d'embrayage;P205/P305/P309/P405;169.70
045.3213;Arrêt d'huile arbre de roue;P403/P404/P504 (=045.3183);24.30
046.3203;Arrêt d'huile arbre de roue;P403/P404D/P504D;31.07
059.4054;Silent bloc de direction;C.XSARA/ZX/C15/P.205/305/306/309/405/504/505/604;24.84
059.4094;Rotule de direction mécanique filetage ext / D&G;P.806 PARTNER- CITROEN EVASION GUMPY;152.13
062.3063;Support échappement;P304,P305,P504,P505,P604;32.16
066.4094;Soufflet direction à crémaillère;NON LIVRABLE P204,P304;43.74
066.4104;Soufflet direction à crémaillère;P504,P604;53.71
066.4154;Soufflet direction à crémaillère;P104/P205/P106/P109/P504/P309/CZX BERLINGO/C15;36.74
066.4224;Soufflet direction à crémaillère;CIT BERLINGO/C15/XARA/ZX/P6T/006/306/309/P PARTNER;48.21
066.4284;Soufflet direction assistée;P 405;85.24
066.4434;Soufflet direction assistée;CXSARA/ZX/C15/P 306/P PARTNER/PICASSO BERLINGO;57.21
087.5155;Biellette barre stabilisatrice;P504 505;177.00
087.5375;Biellette barre stabilisatrice;CIT X MERT DUCATO/BOXER CZX BERLINGO/P 306 P PARTNER;94.80
087.5395;Biellette barre stabilisatrice;CXSARA C PICASS;94.28
087.5415;Biellette barre stabilisatrice;P 605;190.87
087.5455;Biellette barre stabilisatrice;P 1007 P 206/C2/C CIT DS1;125.60
087.5485;Biellette barre stabilisatrice;P 406;128.92
093.5025;Silent bloc de bras de suspension;P404;22.99
093.5155;Palier barre stabilisatrice;DUCATO;25.51
094.5095;Palier barre stabilisatrice;P504.P505(d24);6.74
094.5395;Palier barre stabilisatrice;P.205 E;47.70
094.5355 L;Palier barre stabilisatrice;P.305 405 (DIAM 22);46.47
094.5365;Palier barre stabilisatrice;P.205 P.309;27.23
094.5375;Palier barre stabilisatrice;P205/309;25.02
094.5405;Palier barre stabilisatrice;P205/P309/C15;24.73
094.5425;Palier barre stabilisatrice;P.205 P309;28.82
094.5435;Palier barre stabilisatrice;P.205 P309;27.92
094.5535 L;Palier barre stabilisatrice;P405;38.26
094.5565;Palier barre stabilisatrice;CAX P 106;38.03
094.5595;Palier barre stabilisatrice;;34.62
094.5605;Palier barre stabilisatrice;P 306;27.00
094.5635;Palier barre stabilisatrice;P 306/CXSARA/ZX;53.85
094.5655;Palier barre stabilisatrice;P 306;40.71
094.5665;Palier barre stabilisatrice;P 605;48.19
094.5705;Palier barre stabilisatrice;P PARTNER P 106/C BERLINGO;44.95
094.5775;Palier barre stabilisatrice;CIT XSARA (DIAM 20);49.39
094.5795;Palier barre stabilisatrice;P 206 (DIAMETRE 19);41.52
094.5805;Palier barre stabilisatrice;P 307 (DIAM 21);49.98
094.5875;Palier barre stabilisatrice;CIT BERLINGO/C4/PICASSO-P01 PARTNER 3008-307/308-3008;50.00
094.5895;Palier barre stabilisatrice;PARTNER 3008-307/308-3008;49.73
100.3527;Nécessaire réparation de train AV;P404;121.71
100.3545;Nécessaire réparation de train AV;P 205 11/C VISA DAC 15;98.41
100.3547;Nécessaire réparation de train AV;P304(77),P305(-83);207.61
100.3548;Nécessaire réparation de train AV;P305TT (DE PLUS 80);169.41
100.3549;Nécessaire réparation de train AV;P504 TT P004;125.46
100.3552;Nécessaire réparation de train AV;P504 505;120.71
100.3565;Nécessaire réparation de train AV;P.309 TT;121.27
100.3572;Nécessaire réparation de train AV;R.TWINGO;188.05
100.3576;Nécessaire réparation de train AV;R.KANGOO;412.68
100.3836;Nécessaire boitier de direction;P404;178.66
100.4003;Nécessaire réparation poussoir de direction;P204D,P304(<77);53.16
100.4005;Nécessaire réparation poussoir de direction;P304(77>),P305,P504,P505(<2/84);65.94
100.5032;Nécessaire réparation butée de ressort;P404;216.32
100.5250;AVOIR;KIT DE PROTECTION D'AMORTISSEUR;305.93
100.5269;AVOIR;KIT DE SUSPENSION;477.61
100.5518;Butée de suspension;P.205 D/P.309 D;27.97
100.6004;Nécessaire soufflet de cardan;C.VISA/ZX/C.BERLINGO/C15/P.205/304/305/30 9/504/505;130.67
100.9359;Soufflet cardan;PGT 205 - 309 - 405;30.02
100.9373;Soufflet cardan;SUPER 5/R9/ R11/ R18/ R21/ R25;34.11
103.4A84;Axe de volant;P.205 N.V/P.309;614.94
103.4C34;Axe de volant;P.405;721.39
103.4C84;Axe de volant;P.306;739.47
103.4C94;Axe de volant;P.306/405/ZX;506.14
107.A562S;Nécessaire réparation de train AV;BERLINGO/P.306/P.PARTNER;571.52
121.3263;Arrêt d'huile différentiel;P.106/305/309/405/605;37.97
121.3273;Arrêt d'huile différentiel;PGT.405;38.08
128.2172;Tige d'ancrage de pédale;P.405;25.27
131.1041;Mano-contact d'huile;P.104/204/205/304/404/505 J7;72.74
131.5045QX;Silent bloc de ressort;P403,P404;44.93
131.5395;Silent bloc de ressort;P404/P504/P505;73.21
131.5455;Roulement train AR à aiguilles;P.205/P.306/P.309;51.18
131.5475;Articulation bras de suspension;P.405/PARTNER/C.BERLINGO;58.55
131.5485;Roulement train AR à aiguilles;P.205/P.306/P.309;89.04
131.5495;Roulement train AR à aiguilles;FIAT DUCATO-PGT BOXER-CIT.JUMPER;56.72
131.5725;Articulation essieu AR;P.205;39.06
131.5745;Articulation de berceau;PGT 206;77.72
131.5935;Palier barre stabilisatrice;PGT 206;94.46
131.5945;Palier barre stabilisatrice;PGT 406;91.03
131.5995;Articulation bras de suspension;CIT (C2/C3/C3 PLURIEL);233.49
131.5C25;Suspension Support Essieu;P.205/306/309;79.62
132.5495;Roulement train AR à aiguilles;CIT AX/SAXO/P106;98.15
132.5555;Roulement train AR à aiguilles;PGT 206;157.23
132.5725;Roulement train AR à aiguilles;PGT 307;127.07
142.5325;Support triangle suspension;P.205D/309D;96.36
151.5105;Support traverse;;
151.5245;Articulation essieu AR;PGT 405;254.62
152.5165;Support traverse AR / G;P504/P505/P604;66.09
152.5175;Support traverse AR / D;P504/P505/P604;70.76
152.5185;Support train AR;P504/P505/P604;75.22
152.5625;Support traverse;CITROEN BERLINGO/P.PARTNER C/PICASSO;231.15
163.021;Bouchon de Vidange;P205/ P404/ P504/ P505;6.18
164.002;Joint vidange;PEUGEOT T.TYPE;1.74
166.5375;Butée talonnage de bras de suspension;PGT 206;49.57
167.4001;Poulie roue libre alternateur;RLT CLIO II-DAVIA SANDERO-NISSAN/MICRA;378.65
167.4002;Poulie roue libre alternateur;RLT CLIO II/SCENIC/MEGANE;350.49
167.4006;Poulie roue libre alternateur;AUDI A3-VW GOLF IV/V;411.15
167.6001;Poulie roue libre alternateur;AUDI A3-VW GOLF IV/V;414.26
167.6002;Poulie roue libre alternateur;AUDI A4/A6-VW PASSAT;404.89
167.6005;Poulie roue libre alternateur;SEAT CORDOBA-VW GOLF IV/PASSAT/POLO/TRANSPORTER;385.28
167.6008;Poulie roue libre alternateur;AUDI A3/A4/A5/A6/Q5-VW GOLF V/VII;381.55
167.6011;Poulie roue libre alternateur;CIT C4-PGT 206/207-FIAT DUCATO;441.76
170.0003;Biellette barre stabilisatrice;PGT PARTNER;271.27
175.4026;Kit de distribution;DACIA (DOKKER/DUSTER/LOGAN (1.5DCI)(119DX27))-RNLT(CAPTUR/CLIO IV/KADJAR);852.45
178.5315;Biellette barre stabilisatrice;P.605;437.43
178.5395;Biellette barre stabilisatrice;P.406;224.16
178.5435;Biellette barre stabilisatrice;PGT 607/CIT. XM;272.62
179.5025;Silent bloc de bras de suspension;P404,P504;22.62
181.5065;Palier barre stabilisatrice;P504/P505/P604;4.75
190.0002;Soufflet cardan;(COTE BV) CIT (C4/C4 PICASSO)-PGT(307/406/407/607);123.38
190.0015;Soufflet cardan;(COTE ROUE) CIT (C4/C4 PICASSO)-PGT(307/407/607);135.75
190.0025;Soufflet cardan;CIT (BERLINGO (DÈS 2000) C2 C3)-PGT(206/2008/307/308/3008/407/208);127.92
